"MEDV","LSTAT","DIS"
24,4.98,"4.0900"
21.6,9.14,"4.9671"
34.7,4.03,"4.9671"
33.4,2.94,"6.0622"
36.2,5.33,"6.0622"
28.7,5.21,"6.0622"
22.9,12.43,"5.5605"
27.1,19.15,"5.9505"
16.5,29.93,"6.0821"
18.9,17.1,"6.5921"
15,20.45,"6.3467"
18.9,13.27,"6.2267"
21.7,15.71,"5.4509"
20.4,8.26,"4.7075"
18.2,10.26,"4.4619"
19.9,8.47,"4.4986"
23.1,6.58,"4.4986"
17.5,14.67,"4.2579"
20.2,11.69,"3.7965"
18.2,11.28,"3.7965"
13.6,21.02,"3.7979"
19.6,13.83,"4.0123"
15.2,18.72,"3.9769"
14.5,19.88,"4.0952"
15.6,16.3,"4.3996"
13.9,16.51,"4.4546"
16.6,14.81,"4.6820"
14.8,17.28,"4.4534"
18.4,12.8,"4.4547"
21,11.98,"4.2390"
12.7,22.6,"4.2330"
14.5,13.04,"4.1750"
13.2,27.71,"3.9900"
13.1,18.35,"3.7872"
13.5,20.34,"3.7598"
18.9,9.68,"3.3603"
20,11.41,"3.3779"
21,8.77,"3.9342"
24.7,10.13,"3.8473"
30.8,4.32,"5.4011"
34.9,1.98,"5.4011"
26.6,4.84,"5.7209"
25.3,5.81,"5.7209"
24.7,7.44,"5.7209"
21.2,9.55,"5.7209"
19.3,10.21,"5.1004"
20,14.15,"5.1004"
16.6,18.8,"5.6894"
14.4,30.81,"5.8700"
19.4,16.2,"6.0877"
19.7,13.45,"6.8147"
20.5,9.43,"6.8147"
25,5.28,"6.8147"
23.4,8.43,"6.8147"
18.9,14.8,"7.3197"
35.4,4.81,"8.6966"
24.7,5.77,"9.1876"
31.6,3.95,"8.3248"
23.3,6.86,"7.8148"
19.6,9.22,"6.9320"
18.7,13.15,"7.2254"
16,14.44,"6.8185"
22.2,6.73,"7.2255"
25,9.5,"7.9809"
33,8.05,"9.2229"
23.5,4.67,"6.6115"
19.4,10.24,"6.6115"
22,8.1,"6.4980"
17.4,13.09,"6.4980"
20.9,8.79,"6.4980"
24.2,6.72,"5.2873"
21.7,9.88,"5.2873"
22.8,5.52,"5.2873"
23.4,7.54,"5.2873"
24.1,6.78,"4.2515"
21.4,8.94,"4.5026"
20,11.97,"4.0522"
20.8,10.27,"4.0905"
21.2,12.34,"5.0141"
20.3,9.1,"4.5026"
28,5.29,"5.4007"
23.9,7.22,"5.4007"
24.8,6.72,"5.4007"
22.9,7.51,"5.4007"
23.9,9.62,"4.7794"
26.6,6.53,"4.4377"
22.5,12.86,"4.4272"
22.2,8.44,"3.7476"
23.6,5.5,"3.4217"
28.7,5.7,"3.4145"
22.6,8.81,"3.0923"
22,8.2,"3.0921"
22.9,8.16,"3.6659"
25,6.21,"3.6659"
20.6,10.59,"3.6150"
28.4,6.65,"3.4952"
21.4,11.34,"3.4952"
38.7,4.21,"3.4952"
43.8,3.57,"3.4952"
33.2,6.19,"3.4952"
27.5,9.42,"2.7778"
26.5,7.67,"2.8561"
18.6,10.63,"2.7147"
19.3,13.44,"2.7147"
20.1,12.33,"2.4210"
19.5,16.47,"2.1069"
19.5,18.66,"2.2110"
20.4,14.09,"2.1224"
19.8,12.27,"2.4329"
19.4,15.55,"2.5451"
21.7,13,"2.7778"
22.8,10.16,"2.6775"
18.8,16.21,"2.3534"
18.7,17.09,"2.5480"
18.5,10.45,"2.2565"
18.3,15.76,"2.4631"
21.2,12.04,"2.7301"
19.2,10.3,"2.7474"
20.4,15.37,"2.4775"
19.3,13.61,"2.7592"
22,14.37,"2.2577"
20.3,14.27,"2.1974"
20.5,17.93,"2.0869"
17.3,25.41,"1.9444"
18.8,17.58,"2.0063"
21.4,14.81,"1.9929"
15.7,27.26,"1.7572"
16.2,17.19,"1.7883"
18,15.39,"1.8125"
14.3,18.34,"1.9799"
19.2,12.6,"2.1185"
19.6,12.26,"2.2710"
23,11.12,"2.3274"
18.4,15.03,"2.4699"
15.6,17.31,"2.3460"
18.1,16.96,"2.1107"
17.4,16.9,"1.9669"
17.1,14.59,"1.8498"
13.3,21.32,"1.6686"
17.8,18.46,"1.6687"
14,24.16,"1.6119"
14.4,34.41,"1.4394"
13.4,26.82,"1.3216"
15.6,26.42,"1.4118"
11.8,29.29,"1.3459"
13.8,27.8,"1.4191"
15.6,16.65,"1.5166"
14.6,29.53,"1.4608"
17.8,28.32,"1.5296"
15.4,21.45,"1.5257"
21.5,14.1,"1.6180"
19.6,13.28,"1.5916"
15.3,12.12,"1.6102"
19.4,15.79,"1.6232"
17,15.12,"1.7494"
15.6,15.02,"1.7455"
13.1,16.14,"1.7364"
41.3,4.59,"1.8773"
24.3,6.43,"1.7573"
23.3,7.39,"1.7659"
27,5.5,"1.7984"
50,1.73,"1.9709"
50,1.92,"2.0407"
50,3.32,"2.1620"
22.7,11.64,"2.4220"
25,9.81,"2.2834"
50,3.7,"2.0459"
23.8,12.14,"2.4259"
23.8,11.1,"2.1000"
22.3,11.32,"2.2625"
17.4,14.43,"2.4259"
19.1,12.03,"2.3887"
23.1,14.69,"2.5961"
23.6,9.04,"2.6463"
22.6,9.64,"2.7019"
29.4,5.33,"3.1323"
23.2,10.11,"3.5549"
24.6,6.29,"3.3175"
29.9,6.92,"2.9153"
37.2,5.04,"2.8290"
39.8,7.56,"2.7410"
36.2,9.45,"2.5979"
37.9,4.82,"2.7006"
32.5,5.68,"2.8470"
26.4,13.98,"2.9879"
29.6,13.15,"3.2797"
50,4.45,"3.1992"
32,6.68,"3.7886"
29.8,4.56,"4.5667"
34.9,5.39,"4.5667"
37,5.1,"6.4798"
30.5,4.69,"6.4798"
36.4,2.87,"6.4798"
31.1,5.03,"6.2196"
29.1,4.38,"6.2196"
50,2.97,"5.6484"
33.3,4.08,"7.3090"
30.3,8.61,"7.3090"
34.6,6.62,"7.3090"
34.9,4.56,"7.6534"
32.9,4.45,"7.6534"
24.1,7.43,"6.2700"
42.3,3.11,"6.2700"
48.5,3.81,"5.1180"
50,2.88,"5.1180"
22.6,10.87,"3.9454"
24.4,10.97,"4.3549"
22.5,18.06,"4.3549"
24.4,14.66,"4.2392"
20,23.09,"3.8750"
21.7,17.27,"3.8771"
19.3,23.98,"3.6650"
22.4,16.03,"3.6526"
28.1,9.38,"3.9454"
23.7,29.55,"3.5875"
25,9.47,"3.9454"
23.3,13.51,"3.1121"
28.7,9.69,"3.4211"
21.5,17.92,"2.8893"
23,10.5,"3.3633"
26.7,9.71,"2.8617"
21.7,21.46,"3.0480"
27.5,9.93,"3.2721"
30.1,7.6,"3.2721"
44.8,4.14,"2.8944"
50,4.63,"2.8944"
37.6,3.13,"3.2157"
31.6,6.36,"3.2157"
46.7,3.92,"3.3751"
31.5,3.76,"3.3751"
24.3,11.65,"3.6715"
31.7,5.25,"3.6715"
41.7,2.47,"3.8384"
48.3,3.95,"3.6519"
29,8.05,"3.6519"
24,10.88,"3.6519"
25.1,9.54,"4.1480"
31.5,4.73,"4.1480"
23.7,6.36,"6.1899"
23.3,7.37,"6.1899"
22,11.38,"6.3361"
20.1,12.4,"6.3361"
22.2,11.22,"7.0355"
23.7,5.19,"7.0355"
17.6,12.5,"7.9549"
18.5,18.46,"7.9549"
24.3,9.16,"8.0555"
20.5,10.15,"8.0555"
24.5,9.52,"7.8265"
26.2,6.56,"7.8265"
24.4,5.9,"7.3967"
24.8,3.59,"7.3967"
29.6,3.53,"8.9067"
42.8,3.54,"8.9067"
21.9,6.57,"9.2203"
20.9,9.25,"9.2203"
44,3.11,"6.3361"
50,5.12,"1.8010"
36,7.79,"1.8946"
30.1,6.9,"2.0107"
33.8,9.59,"2.1121"
43.1,7.26,"2.1398"
48.8,5.91,"2.2885"
31,11.25,"2.0788"
36.5,8.1,"1.9301"
22.8,10.45,"1.9865"
30.7,14.79,"2.1329"
50,7.44,"2.4216"
43.5,3.16,"2.8720"
20.7,13.65,"3.9175"
21.1,13,"4.4290"
25.2,6.59,"4.4290"
24.4,7.73,"3.9175"
35.2,6.58,"4.3665"
32.4,3.53,"4.0776"
32,2.98,"4.2673"
33.2,6.05,"4.7872"
33.1,4.16,"4.8628"
29.1,7.19,"4.1403"
35.1,4.85,"4.1007"
45.4,3.76,"4.6947"
35.4,4.59,"5.2447"
46,3.01,"5.2119"
50,3.16,"5.8850"
32.2,7.85,"7.3073"
22,8.23,"7.3073"
20.1,12.93,"9.0892"
23.2,7.14,"7.3172"
22.3,7.6,"7.3172"
24.8,9.51,"7.3172"
28.5,3.33,"5.1167"
37.3,3.56,"5.1167"
27.9,4.7,"5.1167"
23.9,8.58,"5.5027"
21.7,10.4,"5.5027"
28.6,6.27,"5.9604"
27.1,7.39,"5.9604"
20.3,15.84,"6.3200"
22.5,4.97,"7.8278"
29,4.74,"7.8278"
24.8,6.07,"7.8278"
22,9.5,"5.4917"
26.4,8.67,"5.4917"
33.1,4.86,"5.4917"
36.1,6.93,"4.0220"
28.4,8.93,"3.3700"
33.4,6.47,"3.0992"
28.2,7.53,"3.1827"
22.8,4.54,"3.3175"
20.3,9.97,"3.1025"
16.1,12.64,"2.5194"
22.1,5.98,"2.6403"
19.4,11.72,"2.8340"
21.6,7.9,"3.2628"
23.8,9.28,"3.6023"
16.2,11.5,"3.9450"
17.8,18.33,"3.9986"
19.8,15.94,"4.0317"
23.1,10.36,"3.5325"
21,12.73,"4.0019"
23.8,7.2,"4.5404"
23.1,6.87,"4.5404"
20.4,7.7,"4.7211"
18.5,11.74,"4.7211"
25,6.12,"4.7211"
24.6,5.08,"5.4159"
23,6.15,"5.4159"
22.2,12.79,"5.4159"
19.3,9.97,"5.2146"
22.6,7.34,"5.2146"
19.8,9.09,"5.8736"
17.1,12.43,"6.6407"
19.4,7.83,"6.6407"
22.2,5.68,"6.4584"
20.7,6.75,"6.4584"
21.1,8.01,"5.9853"
19.5,9.8,"5.2311"
18.5,10.56,"5.6150"
20.6,8.51,"4.8122"
19,9.74,"4.8122"
18.7,9.29,"4.8122"
32.7,5.49,"7.0379"
16.5,8.65,"6.2669"
23.9,7.18,"5.7321"
31.2,4.61,"6.4654"
17.5,10.53,"8.0136"
17.2,12.67,"8.0136"
23.1,6.36,"8.5353"
24.5,5.99,"8.3440"
26.6,5.89,"8.7921"
22.9,5.98,"8.7921"
24.1,5.49,"0.7103"
18.6,7.79,"0.7103"
30.1,4.5,"2.1265"
18.2,8.05,"0.5857"
20.6,5.57,"0.5857"
17.8,17.6,"2.1222  2"
21.7,13.27,"2.5052  2"
22.7,11.48,"2.7227  2"
22.6,12.67,"2.5091  2"
25,7.79,"2.5182  2"
19.9,14.19,"2.2955  2"
20.8,10.19,"2.1036  2"
16.8,14.64,"1.9047  2"
21.9,5.29,"1.9047  2"
27.5,7.12,"1.6132  2"
21.9,14,"1.7523  2"
23.1,13.33,"1.5106  2"
50,3.26,"1.3325  2"
50,3.73,"1.3567  2"
50,2.96,"1.2024  2"
50,9.53,"1.1691  2"
50,8.88,"1.1296  2"
13.8,34.77,"1.1742  2"
13.8,37.97,"1.1370  2"
15,13.44,"1.3163  2"
13.9,23.24,"1.3449  2"
13.3,21.24,"1.3580  2"
13.1,23.69,"1.3861  2"
10.2,21.78,"1.3861  2"
10.4,17.21,"1.4165  2"
10.9,21.08,"1.5192  2"
11.3,23.6,"1.5804  2"
12.3,24.56,"1.5331  2"
8.8,30.63,"1.4395  2"
7.2,30.81,"1.4261  2"
10.5,28.28,"1.4672  2"
7.4,31.99,"1.5184  2"
10.2,30.62,"1.5895  2"
11.5,20.85,"1.7281  2"
15.1,17.11,"1.9265  2"
23.2,18.76,"2.1678  2"
9.7,25.68,"1.7700  2"
13.8,15.17,"1.7912  2"
12.7,16.35,"1.7821  2"
13.1,17.12,"1.7257  2"
12.5,19.37,"1.6768  2"
8.5,19.92,"1.6334  2"
5,30.59,"1.4896  2"
6.3,29.97,"1.5004  2"
5.6,26.77,"1.5888  2"
7.2,20.32,"1.5741  2"
12.1,20.31,"1.6390  2"
8.3,19.77,"1.7028  2"
8.5,27.38,"1.6074  2"
5,22.98,"1.4254  2"
11.9,23.34,"1.1781  2"
27.9,12.13,"1.2852  2"
17.2,26.4,"1.4547  2"
27.5,19.78,"1.4655  2"
15,10.11,"1.4130  2"
17.2,21.22,"1.5275  2"
17.9,34.37,"1.5539  2"
16.3,20.08,"1.5894  2"
7,36.98,"1.6582  2"
7.2,29.05,"1.8347  2"
7.5,25.79,"1.8195  2"
10.4,26.64,"1.6475  2"
8.8,20.62,"1.8026  2"
8.4,22.74,"1.7940  2"
16.7,15.02,"1.8589  2"
14.2,15.7,"1.8746  2"
20.8,14.1,"1.9512  2"
13.4,23.29,"2.0218  2"
11.7,17.16,"2.0635  2"
8.3,24.39,"1.9096  2"
10.2,15.69,"1.9976  2"
10.9,14.52,"1.8629  2"
11,21.52,"1.9356  2"
9.5,24.08,"1.9682  2"
14.5,17.64,"2.0527  2"
14.1,19.69,"2.0882  2"
16.1,12.03,"2.2004  2"
14.3,16.22,"2.3158  2"
11.7,15.17,"2.2222  2"
13.4,23.27,"2.1247  2"
9.6,18.05,"2.0026  2"
8.7,26.45,"1.9142  2"
8.4,34.02,"1.8206  2"
12.8,22.88,"1.8172  2"
10.5,22.11,"1.8662  2"
17.1,19.52,"2.0651  2"
18.4,16.59,"2.0048  2"
15.4,18.85,"1.9784  2"
10.8,23.79,"1.8956  2"
11.8,23.98,"1.9879  2"
14.9,17.79,"2.0720  2"
12.6,16.44,"2.1980  2"
14.1,18.13,"2.2616  2"
13,19.31,"2.1850  2"
13.4,17.44,"2.3236  2"
15.2,17.73,"2.3552  2"
16.1,17.27,"2.3682  2"
17.8,16.74,"2.4527  2"
14.9,18.71,"2.4961  2"
14.1,18.13,"2.4358  2"
12.7,19.01,"2.5806  2"
13.5,16.94,"2.7792  2"
14.9,16.23,"2.7831  2"
20,14.7,"2.7175  2"
16.4,16.42,"2.5975  2"
17.7,14.65,"2.5671  2"
19.5,13.99,"2.7344  2"
20.2,10.29,"2.8016  2"
21.4,13.22,"2.9634  2"
19.9,14.13,"3.0665  2"
19,17.15,"2.8715  2"
19.1,21.32,"2.5403  2"
19.1,18.13,"2.9084  2"
20.1,14.76,"2.8237  2"
19.9,16.29,"3.0334  2"
19.6,12.87,"3.0993  2"
23.2,14.36,"2.8965  2"
29.8,11.66,"2.5329  2"
13.8,18.14,"2.4298  2"
13.3,24.1,"2.2060  2"
16.7,18.68,"2.3053  2"
12,24.91,"2.1007  2"
14.6,18.03,"2.1705  2"
21.4,13.11,"1.9512  2"
23,10.74,"3.4242  2"
23.7,7.74,"3.3317  2"
25,7.01,"3.4106  2"
21.8,10.42,"4.0983  2"
20.6,13.34,"3.7240  2"
21.2,10.58,"3.9917  2"
19.1,14.98,"3.5459  2"
20.6,11.45,"3.1523  2"
15.2,18.06,"1.8209"
7,23.97,"1.7554"
8.1,29.68,"1.8226"
13.6,18.07,"1.8681"
20.1,13.35,"2.1099"
21.8,12.01,"2.3817"
24.5,13.59,"2.3817"
23.1,17.6,"2.7986"
19.7,21.14,"2.7986"
18.3,14.1,"2.8927"
21.2,12.92,"2.4091"
17.5,15.1,"2.3999"
16.8,14.33,"2.4982"
22.4,9.67,"2.4786"
20.6,9.08,"2.2875"
23.9,5.64,"2.1675"
22,6.48,"2.3889"
11.9,7.88,"2.5050"
